id,author,comment,clean_text,star_rating
1,EGTea,我有个想法，动物体内的细胞会不会是兽耳呢d(ŐдŐ๑),我有个想法，动物体内的细胞会不会是兽耳呢dŐдŐ๑,5
3,烈烈汉风,不错的科普作品,不错的科普作品,5
4,哔哩布朗,符合科学理论，同时又不枯燥,符合科学理论，同时又不枯燥,5
5,还是随便点吧,一部关于细胞的拟人化作品，不同于以往的拟人番的是其中有很多科普内容，可以说是一部科普番，也可以起到学习的作用。,一部关于细胞的拟人化作品，不同于以往的拟人番的是其中有很多科普内容，可以说是一部科普番，也可以起到学习的作用。,5
6,无特殊情况,没什么好说的，就是好看鸭,没什么好说的，就是好看鸭,5
7,大白耗子与超威蓝鼠,可以的，少有的科普番。,可以的，少有的科普番。,5
8,茱蒂-史泰龙,7+8+7+8+8,7+8+7+8+8,5
9,雨山觅憶,构思很棒呀！还想看脑细胞的！,构思很棒呀！还想看脑细胞的！,5
10,宇宙超级美少女杀手,本来一开始因为它太火了不想看的，后来真香了,本来一开始因为它太火了不想看的，后来真香了,5
12,IV型超敏反应,角度很新颖的漫,角度很新颖的漫,5
15,小雏菊黛茜,挺好看的！血小板很可爱！,挺好看的！血小板很可爱！,5
16,挖坑的土拨鼠,很有教育意义！,很有教育意义！,5
17,港黑情报员,非常科普。,非常科普。,5
19,姚仁堃,这次一定！！,这次一定！！,5
23,烦之心,好看就完了,好看就完了,5
25,-沉默的羔羊,觉得还算一般吧，看久了感觉有点无聊,觉得还算一般吧，看久了感觉有点无聊,5
26,羊腿都省给你吃yu,666还是更好地,666还是更好地,5
29,醉晚゛,超棒！！！血小板太可爱啦！！！还可以学到好多的东西哒！！,超棒！！！血小板太可爱啦！！！还可以学到好多的东西哒！！,5
30,北海绪仪theNorthSea,非常好，我免疫学的题都是满分了！学医的表示很快乐！希望还有机会，求清水老师多出一点吧！说不定那时候我就是满分达人了！,非常好，我免疫学的题都是满分了！学医的表示很快乐！希望还有机会，求清水老师多出一点吧！说不定那时候我就是满分达人了！,5
32,梦美观星,生物将不再枯燥,生物将不再枯燥,5
33,Calm小淡,可爱风格的科普番，阵容强大（花泽香菜），涉及知识基本是高一的内容，可能因此让我在观看时有点打瞌睡，不过这不影响我的打分。,可爱风格的科普番，阵容强大花泽香菜，涉及知识基本是高一的内容，可能因此让我在观看时有点打瞌睡，不过这不影响我的打分。,5
39,笨笨额,真正的寓教于乐,真正的寓教于乐,5
40,俘邋腐,好评，不解释,好评，不解释,5
41,九遥铃,护理学看得很高兴,护理学看得很高兴,5
43,小孑新之助,工作细胞走起来,工作细胞走起来,5
44,拉普兰德天下第一,补评分，血小板awsl,补评分，血小板awsl,5
45,山兮有扶苏,非常滴好！！！！！,非常滴好！！！！！,5
